"date","ticker","sector","company","adjusted_price"
2019-01-02,"AMZN","Consumer","Amazon.com, Inc.",76.9564971923828
2019-01-02,"BAC","Financials","Bank of America Corporation",20.8368186950684
2019-01-02,"COP","Energy","ConocoPhillips",49.0321998596191
2019-01-02,"CVX","Energy","Chevron Corporation",79.872673034668
2019-01-02,"HD","Consumer","The Home Depot, Inc.",143.130157470703
2019-01-02,"JPM","Financials","JPMorgan Chase & Co.",80.4739761352539
2019-01-02,"MCD","Consumer","McDonald's Corporation",147.795349121094
2019-01-02,"MSFT","Technology","Microsoft Corporation",94.1931381225586
2019-01-02,"NVDA","Technology","NVIDIA Corporation",3.37305212020874
2019-01-02,"WFC","Financials","Wells Fargo & Company",38.2574157714844
2019-01-02,"XOM","Energy","Exxon Mobil Corporation",49.6647529602051
2019-01-03,"AAPL","Technology","Apple Inc.",33.7369956970215
2019-01-03,"AMZN","Consumer","Amazon.com, Inc.",75.0139999389648
2019-01-03,"BAC","Financials","Bank of America Corporation",20.502893447876
2019-01-03,"COP","Energy","ConocoPhillips",48.1038589477539
2019-01-03,"CVX","Energy","Chevron Corporation",78.342903137207
2019-01-03,"HD","Consumer","The Home Depot, Inc.",139.975509643555
2019-01-03,"JPM","Financials","JPMorgan Chase & Co.",79.3302917480469
2019-01-03,"MCD","Consumer","McDonald's Corporation",146.821640014648
2019-01-03,"MSFT","Technology","Microsoft Corporation",90.7279434204102
2019-01-03,"NVDA","Technology","NVIDIA Corporation",3.16926288604736
2019-01-03,"WFC","Financials","Wells Fargo & Company",37.9558601379395
2019-01-03,"XOM","Energy","Exxon Mobil Corporation",48.9022026062012
2019-01-04,"AAPL","Technology","Apple Inc.",35.1771926879883
2019-01-04,"AMZN","Consumer","Amazon.com, Inc.",78.7695007324219
2019-01-04,"BAC","Financials","Bank of America Corporation",21.3543968200684
2019-01-04,"COP","Energy","ConocoPhillips",49.3184509277344
2019-01-04,"CVX","Energy","Chevron Corporation",79.9664840698242
2019-01-04,"HD","Consumer","The Home Depot, Inc.",144.134674072266
2019-01-04,"JPM","Financials","JPMorgan Chase & Co.",82.2548599243164
2019-01-04,"MCD","Consumer","McDonald's Corporation",149.658981323242
2019-01-04,"MSFT","Technology","Microsoft Corporation",94.947639465332
2019-01-04,"NVDA","Technology","NVIDIA Corporation",3.372309923172
2019-01-04,"WFC","Financials","Wells Fargo & Company",39.0806045532227
2019-01-04,"XOM","Energy","Exxon Mobil Corporation",50.705207824707
2019-01-07,"AAPL","Technology","Apple Inc.",35.0989151000977
2019-01-07,"AMZN","Consumer","Amazon.com, Inc.",81.4755020141602
2019-01-07,"BAC","Financials","Bank of America Corporation",21.337703704834
2019-01-07,"COP","Energy","ConocoPhillips",49.1018295288086
2019-01-07,"CVX","Energy","Chevron Corporation",81.0055694580078
2019-01-07,"HD","Consumer","The Home Depot, Inc.",146.973907470703
2019-01-07,"JPM","Financials","JPMorgan Chase & Co.",82.3120498657227
2019-01-07,"MCD","Consumer","McDonald's Corporation",151.287567138672
2019-01-07,"MSFT","Technology","Microsoft Corporation",95.0687255859375
2019-01-07,"NVDA","Technology","NVIDIA Corporation",3.55084204673767
2019-01-07,"WFC","Financials","Wells Fargo & Company",38.8279495239258
2019-01-07,"XOM","Energy","Exxon Mobil Corporation",50.9688949584961
2019-01-08,"AAPL","Technology","Apple Inc.",35.7680015563965
2019-01-08,"AMZN","Consumer","Amazon.com, Inc.",82.8290023803711
2019-01-08,"BAC","Financials","Bank of America Corporation",21.2959632873535
2019-01-08,"COP","Energy","ConocoPhillips",49.7593955993652
2019-01-08,"CVX","Energy","Chevron Corporation",80.6520004272461
2019-01-08,"HD","Consumer","The Home Depot, Inc.",147.67951965332
2019-01-08,"JPM","Financials","JPMorgan Chase & Co.",82.1568145751953
2019-01-08,"MCD","Consumer","McDonald's Corporation",151.606536865234
2019-01-08,"MSFT","Technology","Microsoft Corporation",95.7580490112305
2019-01-08,"NVDA","Technology","NVIDIA Corporation",3.46244215965271
2019-01-08,"WFC","Financials","Wells Fargo & Company",38.7464370727539
2019-01-08,"XOM","Energy","Exxon Mobil Corporation",51.3394813537598
2019-01-09,"AAPL","Technology","Apple Inc.",36.3753967285156
2019-01-09,"AMZN","Consumer","Amazon.com, Inc.",82.9710006713867
2019-01-09,"BAC","Financials","Bank of America Corporation",21.5046691894531
2019-01-09,"COP","Energy","ConocoPhillips",51.4072189331055
2019-01-09,"CVX","Energy","Chevron Corporation",81.7343902587891
2019-01-09,"HD","Consumer","The Home Depot, Inc.",149.207015991211
2019-01-09,"JPM","Financials","JPMorgan Chase & Co.",82.0179290771484
2019-01-09,"MCD","Consumer","McDonald's Corporation",151.346313476562
2019-01-09,"MSFT","Technology","Microsoft Corporation",97.1273498535156
2019-01-09,"NVDA","Technology","NVIDIA Corporation",3.53053712844849
2019-01-09,"WFC","Financials","Wells Fargo & Company",38.9583511352539
2019-01-09,"XOM","Energy","Exxon Mobil Corporation",51.6102828979492
2019-01-10,"AAPL","Technology","Apple Inc.",36.4916572570801
2019-01-10,"AMZN","Consumer","Amazon.com, Inc.",82.8109970092773
2019-01-10,"BAC","Financials","Bank of America Corporation",21.4796180725098
2019-01-10,"COP","Energy","ConocoPhillips",52.559928894043
2019-01-10,"CVX","Energy","Chevron Corporation",81.8642501831055
2019-01-10,"HD","Consumer","The Home Depot, Inc.",148.65087890625
2019-01-10,"JPM","Financials","JPMorgan Chase & Co.",82.009765625
2019-01-10,"MCD","Consumer","McDonald's Corporation",152.404006958008
2019-01-10,"MSFT","Technology","Microsoft Corporation",96.5032424926758
2019-01-10,"NVDA","Technology","NVIDIA Corporation",3.59615588188171
2019-01-10,"WFC","Financials","Wells Fargo & Company",38.9175987243652
2019-01-10,"XOM","Energy","Exxon Mobil Corporation",51.3466033935547
2019-01-11,"AAPL","Technology","Apple Inc.",36.1333847045898
2019-01-11,"AMZN","Consumer","Amazon.com, Inc.",82.0279998779297
2019-01-11,"BAC","Financials","Bank of America Corporation",21.7300605773926
2019-01-11,"COP","Energy","ConocoPhillips",51.3608016967773
2019-01-11,"CVX","Energy","Chevron Corporation",81.2076034545898
2019-01-11,"HD","Consumer","The Home Depot, Inc.",148.941360473633
2019-01-11,"JPM","Financials","JPMorgan Chase & Co.",81.6176452636719
2019-01-11,"MCD","Consumer","McDonald's Corporation",153.092376708984
2019-01-11,"MSFT","Technology","Microsoft Corporation",95.7580490112305
2019-01-11,"NVDA","Technology","NVIDIA Corporation",3.68529891967773
2019-01-11,"WFC","Financials","Wells Fargo & Company",39.0153923034668
2019-01-11,"XOM","Energy","Exxon Mobil Corporation",51.1114311218262
2019-01-14,"AAPL","Technology","Apple Inc.",35.5900573730469
2019-01-14,"AMZN","Consumer","Amazon.com, Inc.",80.8604965209961
2019-01-14,"BAC","Financials","Bank of America Corporation",22.0138931274414
2019-01-14,"COP","Energy","ConocoPhillips",50.7573661804199
2019-01-14,"CVX","Energy","Chevron Corporation",80.6159057617188
2019-01-14,"HD","Consumer","The Home Depot, Inc.",148.443298339844
2019-01-14,"JPM","Financials","JPMorgan Chase & Co.",82.4590682983398
2019-01-14,"MCD","Consumer","McDonald's Corporation",152.126983642578
2019-01-14,"MSFT","Technology","Microsoft Corporation",95.0594329833984
2019-01-14,"NVDA","Technology","NVIDIA Corporation",3.72516489028931
2019-01-14,"WFC","Financials","Wells Fargo & Company",39.4636573791504
2019-01-14,"XOM","Energy","Exxon Mobil Corporation",51.0472793579102
2019-01-15,"AAPL","Technology","Apple Inc.",36.3184623718262
2019-01-15,"AMZN","Consumer","Amazon.com, Inc.",83.7279968261719
2019-01-15,"BAC","Financials","Bank of America Corporation",22.1641616821289
2019-01-15,"COP","Energy","ConocoPhillips",51.0823097229004
2019-01-15,"CVX","Energy","Chevron Corporation",80.9045715332031
2019-01-15,"HD","Consumer","The Home Depot, Inc.",146.500732421875
2019-01-15,"JPM","Financials","JPMorgan Chase & Co.",83.0635833740234
2019-01-15,"MCD","Consumer","McDonald's Corporation",151.959106445312
2019-01-15,"MSFT","Technology","Microsoft Corporation",97.8166656494141
2019-01-15,"NVDA","Technology","NVIDIA Corporation",3.71105074882507
2019-01-15,"WFC","Financials","Wells Fargo & Company",38.8523902893066
2019-01-15,"XOM","Energy","Exxon Mobil Corporation",51.0757904052734
2019-01-16,"AAPL","Technology","Apple Inc.",36.7621536254883
2019-01-16,"AMZN","Consumer","Amazon.com, Inc.",84.1890029907227
2019-01-16,"BAC","Financials","Bank of America Corporation",23.7502994537354
2019-01-16,"COP","Energy","ConocoPhillips",50.796070098877
2019-01-16,"CVX","Energy","Chevron Corporation",80.3850326538086
2019-01-16,"HD","Consumer","The Home Depot, Inc.",146.973907470703
2019-01-16,"JPM","Financials","JPMorgan Chase & Co.",83.7334594726562
2019-01-16,"MCD","Consumer","McDonald's Corporation",150.557205200195
2019-01-16,"MSFT","Technology","Microsoft Corporation",98.1613159179688
2019-01-16,"NVDA","Technology","NVIDIA Corporation",3.68554615974426
2019-01-16,"WFC","Financials","Wells Fargo & Company",39.8874740600586
2019-01-16,"XOM","Energy","Exxon Mobil Corporation",51.0544242858887
2019-01-17,"AAPL","Technology","Apple Inc.",36.9804344177246
2019-01-17,"AMZN","Consumer","Amazon.com, Inc.",84.661003112793
2019-01-17,"BAC","Financials","Bank of America Corporation",24.2010955810547
2019-01-17,"COP","Energy","ConocoPhillips",51.8791389465332
2019-01-17,"CVX","Energy","Chevron Corporation",80.7890777587891
2019-01-17,"HD","Consumer","The Home Depot, Inc.",145.172409057617
2019-01-17,"JPM","Financials","JPMorgan Chase & Co.",84.0765533447266
2019-01-17,"MCD","Consumer","McDonald's Corporation",152.034683227539
2019-01-17,"MSFT","Technology","Microsoft Corporation",98.8506164550781
2019-01-17,"NVDA","Technology","NVIDIA Corporation",3.75686049461365
2019-01-17,"WFC","Financials","Wells Fargo & Company",40.1238327026367
2019-01-17,"XOM","Energy","Exxon Mobil Corporation",51.4036140441895
2019-01-18,"AAPL","Technology","Apple Inc.",37.2082023620605
2019-01-18,"AMZN","Consumer","Amazon.com, Inc.",84.8099975585938
2019-01-18,"BAC","Financials","Bank of America Corporation",24.4598865509033
2019-01-18,"COP","Energy","ConocoPhillips",52.5289878845215
2019-01-18,"CVX","Energy","Chevron Corporation",82.5281295776367
2019-01-18,"HD","Consumer","The Home Depot, Inc.",149.082504272461
2019-01-18,"JPM","Financials","JPMorgan Chase & Co.",85.4408187866211
2019-01-18,"MCD","Consumer","McDonald's Corporation",153.26025390625
2019-01-18,"MSFT","Technology","Microsoft Corporation",100.33171081543
2019-01-18,"NVDA","Technology","NVIDIA Corporation",3.88586902618408
2019-01-18,"WFC","Financials","Wells Fargo & Company",40.7595520019531
2019-01-18,"XOM","Energy","Exxon Mobil Corporation",52.0165061950684
2019-01-22,"AAPL","Technology","Apple Inc.",36.3730316162109
2019-01-22,"AMZN","Consumer","Amazon.com, Inc.",81.6084976196289
2019-01-22,"BAC","Financials","Bank of America Corporation",24.2845726013184
2019-01-22,"COP","Energy","ConocoPhillips",50.8656959533691
2019-01-22,"CVX","Energy","Chevron Corporation",81.0633087158203
2019-01-22,"HD","Consumer","The Home Depot, Inc.",147.031982421875
2019-01-22,"JPM","Financials","JPMorgan Chase & Co.",84.0929107666016
2019-01-22,"MCD","Consumer","McDonald's Corporation",154.939208984375
2019-01-22,"MSFT","Technology","Microsoft Corporation",98.4407958984375
2019-01-22,"NVDA","Technology","NVIDIA Corporation",3.68381333351135
2019-01-22,"WFC","Financials","Wells Fargo & Company",40.6373023986816
2019-01-22,"XOM","Energy","Exxon Mobil Corporation",51.2325782775879
2019-01-23,"AAPL","Technology","Apple Inc.",36.5201377868652
2019-01-23,"AMZN","Consumer","Amazon.com, Inc.",82.0009994506836
